date,blockTime,blockSize,blockCount,uncleCount,price
20100101,14.09,1390,6111,337,8.14
20100102,14.21,1458,6058,353,8.34
20100103,14.28,1627,6035,385,9.6
20100104,13.99,1717,6141,393,10.88
20100105,14.1,1676,6091,381,10.2
20100106,14.32,1593,6009,373,10.07
20100107,14.09,1570,6108,388,9.79
20100108,14.13,1557,6074,372,10.27
20100109,14.16,1595,6082,378,10.2
20100110,14.27,1686,6030,344,10.55
20100111,14.24,1591,6047,367,9.83
20100112,14.21,1697,6056,367,9.81
20100113,14.1,1729,6106,346,9.78
20100114,14.18,1499,6067,328,9.78
20100115,14.14,1498,6085,369,9.88
20100116,14.22,1575,6052,366,9.59
20100117,14.36,1642,6002,371,10.14
20100118,14.18,1583,6065,363,10.19
20100119,14,1552,6158,383,10.43
20100120,14.41,1609,5963,375,10.6
20100121,14.27,1504,6046,368,10.91
20100122,14.18,1616,6065,354,10.71
20100123,14.22,1612,6048,354,10.78
20100124,14.23,1754,6037,351,10.51
20100125,14.31,1644,6010,387,10.51
20100126,14.14,1673,6081,394,10.65
20100127,14.36,1658,5985,335,10.51
20100128,14.21,1628,6063,347,10.54
20100129,14.43,1523,5960,372,10.47
20100130,14.1,1579,6094,406,10.62
20100131,14.29,1539,6018,373,10.71
20100201,14.32,1607,6009,362,10.71
20100202,14.2,1578,6047,331,10.78
20100203,14.38,1568,5990,373,10.95
20100204,14.12,1560,6078,385,11.32
20100205,14.16,1614,6077,338,11.22
20100206,14.21,1606,6050,383,11.32
20100207,14.34,1827,5998,417,11.45
20100208,14.18,1764,6067,387,11.39
20100209,14.25,1630,6029,354,10.94
20100210,14.23,1735,6040,361,11.34
20100211,14.22,1594,6038,387,11.43
20100212,14.21,1571,6059,358,11.42
20100213,14.19,1823,6070,382,11.39
20100214,14.29,1914,6023,378,13
20100215,14.14,1818,6089,361,12.97
20100216,14.22,1661,6052,351,12.95
20100217,14.33,1661,6012,350,12.72
20100218,14.34,1773,5999,343,12.83
20100219,14.31,1635,6019,326,12.82
20100220,14.31,1696,6015,362,12.52
20100221,14.2,1989,6052,320,12.77
20100222,14.43,1790,5968,319,12.69
20100223,14.29,1667,6019,317,13.13
20100224,14.34,1778,6011,335,13.11
20100225,14.28,1761,6039,377,13.57
20100226,14.12,1713,6089,381,14.59
20100227,14.37,1819,5988,361,15.55
20100228,14.08,1935,6107,367,16.07
20100301,14.45,2235,5958,379,17.55
20100302,14.2,2209,6061,370,19.08
20100303,14.31,2084,6006,353,19.48
20100304,14.37,1860,5985,353,18.61
20100305,14.18,1821,6073,340,19.22
20100306,14.41,1808,5977,360,19.75
20100307,14.43,1963,5978,336,18.91
20100308,14.29,1800,6016,350,16.54
20100309,14.54,2403,5928,329,17.71
20100310,14.43,2190,5953,353,19.13
20100311,14.35,2014,6002,347,21.45
20100312,14.53,2043,5919,357,23.31
20100313,14.25,2452,6040,400,28.45
20100314,14.43,2433,5961,407,28.58
20100315,14.37,2456,5986,409,35.18
20100316,14.37,3071,5990,423,45.51
20100317,14.22,2880,6046,460,44.48
20100318,14.36,2513,5991,435,34
20100319,14.48,2396,5950,349,43.12
20100320,14.15,2316,6066,374,42.51
20100321,14.46,2507,5957,345,42.67
20100322,14.31,2368,6008,383,41.65
20100323,14.55,2513,5914,406,43.2
20100324,14.54,2557,5913,366,53.19
20100325,14.44,2428,5962,354,50.62
20100326,14.37,2375,5981,355,50.63
20100327,14.45,2896,5951,350,49.06
20100328,14.61,2543,5900,295,50.25
20100329,14.36,2744,5988,369,53.07
20100330,14.57,2853,5910,355,51.91
20100331,14.39,2949,5971,377,49.91
20100401,14.51,2403,5926,342,50.6
20100402,14.7,2669,5846,337,48.55
20100403,14.4,2788,5979,360,44.13
20100404,14.49,2518,5932,386,44.43
20100405,14.41,2558,5986,362,44.9
20100406,14.65,2799,5880,364,43.23
20100407,14.47,2776,5946,373,42.31
20100408,14.52,2249,5936,340,44.37
20100409,14.9,2358,5797,349,43.72
20100410,14.97,2460,5758,342,43.74
20100411,14.76,2377,5849,331,43.74
20100412,14.98,2697,5779,365,46.38
20100413,14.88,2589,5798,375,49.97
20100414,14.62,2451,5908,402,47.32
20100415,15.08,2348,5721,388,48.89
20100416,14.85,2220,5820,390,48.22
20100417,14.73,2309,5861,376,47.94
20100418,14.67,2603,5861,343,49.88
20100419,15.06,2664,5718,290,47.88
20100420,14.67,2581,5859,314,49.36
20100421,14.67,2691,5878,303,48.27
20100422,14.87,2429,5792,286,48.41
20100423,14.67,2393,5864,328,48.75
20100424,15.06,2553,5721,327,49.94
20100425,14.57,2803,5897,354,50.09
20100426,15.27,2724,5637,318,53.28
20100427,15.25,3095,5642,312,63.14
20100428,15.12,3178,5697,337,72.42
20100429,15.29,2793,5626,301,69.83
20100430,15.25,3064,5648,311,79.83
20100501,15.32,3544,5624,340,77.53
20100502,15.29,3461,5619,373,77.25
20100503,15.21,3028,5649,361,80.37
20100504,15.25,3351,5649,326,94.55
20100505,15.15,3171,5675,369,90.79
20100506,15.14,2934,5678,362,94.82
20100507,15.07,3322,5718,357,90.46
20100508,15.24,3409,5640,338,88.39
20100509,15.13,3376,5672,380,86.27
20100510,15.19,3227,5648,375,87.83
20100511,15.03,3352,5702,333,88.2
20100512,15.1,3154,5688,394,85.15
20100513,15.39,3065,5591,357,87.96
20100514,15.92,3140,5402,336,88.72
20100515,15.9,3831,5401,403,90.32
20100516,15.67,3644,5457,391,87.8
20100517,16.1,4305,5325,341,86.98
20100518,15.74,4245,5462,321,95.88
20100519,15.83,4801,5424,344,124.38
20100520,15.59,4179,5489,329,123.06
20100521,15.77,4586,5437,402,148
20100522,15.71,5328,5468,387,160.39
20100523,15.83,6627,5419,403,169.5
20100524,15.77,6666,5427,404,193.03
20100525,15.71,5952,5465,413,177.33
20100526,15.57,5559,5492,412,162.83
20100527,15.76,5127,5439,431,156.63
20100528,15.7,5379,5453,429,172.86
